"タイトル","交信録2・ウマ娘生命体、疾走す"
"ウマ娘A","えぇと……言ってることがよくわからないんだけど、つまり～……。"
"ウマ娘A","あなたも『模擬レースに参加したい』ってこと？"
"ネオユニヴァース","アファーマティブ。――そう。"
"","模擬レースへの参加を表明するネオユニヴァース。と……。"
"中堅トレーナーA","誰、あの子？ ウマ娘……よね？でも服装が……。"
"中堅トレーナーB","ああ、ジャージじゃないし、顔も見たことないな。それになんか雰囲気も……。"
"","どうも不審がられているようだ。自分が話した限り、ネオユニヴァースは危険な少女ではないが……。"
"","果たしてどんな走りをするのか。波乱の予感と共に、ゲートは開いた。"
"ネオユニヴァース","スタートは……ネガティブ。“サテライト”に取り囲まれている……。前方に3、側方、後方に各2……。"
"ネオユニヴァース","現況は『詰んでいる』ね。離脱はできる……。でも……。"
"ネオユニヴァース","今は『不要』。慣性のまま、ただ流れに乗って――"
"中堅トレーナーB","ヘー、動かないのか。普通は少しでもいい位置を取ろうと、ジタバタするもんだけど……。"
"中堅トレーナーA","落ち着いたレースさばきね。本当にデビュー前のウマ娘なの？"
"","あえて余計な動きをしないレース巧者ぶり。どうやらネオユニヴァースの知性は、飛び抜けて高いようだ。"
"","そして――最終直線。"
"ネオユニヴァース","これは……？ “アルタイの断崖”……。どこにも出られない……。"
"中堅トレーナーB","おいおい……最悪の展開だぞ。第4コーナーを回っても、囲まれたままなんて。"
"中堅トレーナーA","ええ、前が完全に壁になってる。これじゃ抜け出しようが……。"
"","完全に進路を失ってしまったネオユニヴァース。このままでは惨敗は確実だが――"
"ネオユニヴァース","このインシデントは――“既知”。ネオユニヴァースは……前にも観た。"
"ネオユニヴァース","スターフルイド……。物質は常に“流動する”。だから……。"
"ネオユニヴァース","ふっ……！"
"中堅トレーナーA","ええええ、消えた！？"
"選択肢","――！？"
"中堅トレーナーB","一体どこに！？"
"","ネオユニヴァースは一瞬、姿をくらましたように見えた。そして――"
"ネオユニヴァース","ふっ……！！"
"ウマ娘出走者A","ええっ！？ あの狭い間を抜けてきたの！？"
"ウマ娘出走者B","ウソでしょ……。なに、この子の走り……！？"
"","遠目にだが、まるで空間転移したように見えた。いや、もしかしたら本当に――"
"中堅トレーナーB","おいおい、あの子……。今なんか、おかしくなかったか？"
"中堅トレーナーA","ええ……どこをどう通ったのか……。後でいろいろ聞きたいわ……。"
"","完全に興味を引きつけてしまったようだ。しかも……悪い方向に。"
"","にわかに周囲がざわめき立つ。翌喉は、不穏などよめきへと変わった。"
"ネオユニヴァース","ふう～……『最先着』だね。アタマ差……。"
"ネオユニヴァース","言葉では……通じ合えない……。でも……。"
"ネオユニヴァース","“ランデブー”。走れば、わかり合える……。並べば意識は“コネクト”し、想いは共有できる。"
"ネオユニヴァース","このつながりが、ネオユニヴァースを……。"
"ウマ娘出走者A","ねえ、そこのあなた。ちょっといい？勝ったのはすごいけど……最後の直線、少しヘンじゃなかった？"
"ウマ娘出走者B","だよね。まるで……ワープでもしたみたい。そんなはずない。ないけど……もしかしたらシューズに細工とか……。"
"競技委員","悪いけど、少し検査させてもらえるかな？模擬レースとはいえ、もし何らかのレギュレーション違反があるなら……。"
"ネオユニヴァース","周りに『ヒト』が……。これは……引力？ネオユニヴァースは様々な“エグジスタンス”を引きつけて……。"
"ネオユニヴァース","でも、このつながりは……喜びを“想起”させない。“ABSS”……。"
"","大勢に囲まれ、かすかに怯えるネオユニヴァース。もしこのまま連れていかれたら……。"
"","きっとあれこれ調べられるだろう。その結果、彼女について何かがわかるかもしれない。わかるだけならいいが……。"
"","もしかしたら調査はさらにエスカレートするかもしれない。望まない質疑応答や検査まで求められる可能性も……。"
"ネオユニヴァース","またしても“アルタイの断崖”……。ネオユニヴァースはどこへ……。"
"選択肢","こっちだ、ネオユニヴァース！"
"ネオユニヴァース","――？ あなたは……。"
"選択肢","早く！！"
"中堅トレーナーA","あああ、どこへ！？ ちょっと！ ちょっと待って！！"
"","あわててその場を抜け出す。とにかく安全なところへ……。"
"ネオユニヴァース","あの……なぜ救助を……。"
"選択肢","君は悪い娘じゃないから！"
"","正体はわからない。でも害をなす者でないなら、どうにか助けたい。それだけだった。"
"ゼンノロブロイ","――？ 今レースをしていたウマ娘は……。"
"ゼンノロブロイ","まさか……ユニさん……? どうしてみんなに追いかけられて……？"
