"タイトル","有馬記念の後に・英雄の逆襲"
"","『ジャパンカップ』ではネオユニヴァースが\n勝利した。しかし『有馬記念』では……。"
"実況","ゼンノロブロイ！ゼンノロブロイです！"
"実況","英雄、ここに決起！　今、高々と、\n勝利の剣を頭上に掲げました！！`"
"ゼンノロブロイ","ありがとうございましたーっ！！"
"","ゼンノロブロイが一矢を報いた。\nこの秋冬は『両雄譲らず」だった。"
"ネオユニヴァース","ゼンノロブロイ、“セレブレーション”を\n伝えるよ。それから……。"
"ネオユニヴァース","向上した、ね。"
"ゼンノロブロイ","ありがとうございます、ユニさん！"
"ゼンノロブロイ","あの……“向上”って\n『ジャパンカップ』からですか？"
"ネオユニヴァース","――ネガティブ。\n“向上”が認められたのは……。"
"ネオユニヴァース","“ANOI”の『有馬記念』から。\nあのレースより、\nさらに上昇軌道を描いている。"
"ネオユニヴァース","ゼンノロブロイ、\n『わたし」たちは追っているんだ。"
"ネオユニヴァース","――エアリアルの“幽異体”を。"
"ゼンノロブロイ","エアリアルの……ゴースト…·\n難しいですけれど、なんとなくわかります。"
"ゼンノロブロイ","どこかにいる自分を越えて、そして――"
"ゼンノロブロイ","いつか追いつきたいですね！\n掲げる理想の自分に。"
"ネオユニヴァース","――うん。"
"","一見、同じ勝利に見える。だが\nゼンノロブロイはよりたくましくなった。"
"","これからも2人は駆け続ける。別宇宙の\n“幽異体”を上回るべく、どこまでも。"
